,V1,V2,V3,V4,V5
https://www.class-central.com/mooc/2305/coursera-gut-check-exploring-your-microbiome,microbiome,gut,microbiota,microbes,human
https://www.class-central.com/mooc/2793/coursera-american-education-reform-history-policy-practice,schools,deweys,school,education,blacks
https://www.class-central.com/mooc/1727/coursera-usable-security,authentication,cybersecurity,humancomputer,secure,usable
https://www.class-central.com/mooc/4185/coursera-sharpened-visions-a-poetry-workshop,poem,poems,poetic,poetry,rhythm
https://www.class-central.com/mooc/1014/coursera-financial-engineering-and-risk-management-part-i,securities,pricing,binomial,derivatives,mbs
https://www.class-central.com/mooc/2729/coursera-budgeting-and-scheduling-projects,project,schedule,estimating,cost,budget
https://www.class-central.com/mooc/1767/coursera-understanding-research-methods,etivity,research,question,tab,literature
https://www.class-central.com/mooc/889/coursera-introduction-to-public-speaking,speeches,speaking,speech,informative,persuasive
https://www.class-central.com/mooc/2986/coursera-moral-foundations-of-politics,enlightenment,formulations,politics,contract,classical
https://www.class-central.com/mooc/527/coursera-financial-engineering-and-risk-management,derman,emanuel,management,cast,risk
https://www.class-central.com/mooc/626/coursera-startup-engineering,command,line,scaling,startups,bizdev
https://www.class-central.com/mooc/453/coursera-the-hardware-software-interface,highlevel,assembly,memory,hardware,levels
https://www.class-central.com/mooc/429/coursera-creative-serious-and-playful-science-of-android-apps,app,android,programming,computer,illiac
https://www.class-central.com/mooc/976/coursera-the-emergence-of-the-modern-middle-east-part-i,ottoman,east,arab,middle,empire
https://www.class-central.com/mooc/436/coursera-microeconomics-principles,module,decisionmakersboth,producerswithin,shatter,efficiency
https://www.class-central.com/mooc/5057/coursera-stanford-introduction-to-food-and-health,foods,eating,food,cooking,nutrients
https://www.class-central.com/mooc/1173/coursera-plagues-witches-and-war-the-worlds-of-historical-fiction,fiction,seminar,historical,holsinger,holsingers
https://www.class-central.com/mooc/543/coursera-english-common-law-structure-and-principles,law,precedent,common,parliamentary,sovereignty
https://www.class-central.com/mooc/4206/coursera-the-arduino-platform-and-c-programming,arduino,ide,shields,pins,board
https://www.class-central.com/mooc/4371/coursera-foundations-of-strategic-business-analytics,analytics,business,credit,businessoriented,actionable
https://www.class-central.com/mooc/1172/coursera-the-kennedy-half-century,kennedy,legacy,assassination,kennedys,fifty
https://www.class-central.com/mooc/2741/coursera-operations-management,operations,inventory,management,module,supply
https://www.class-central.com/mooc/4297/coursera-data-visualization-and-communication-with-tableau,tableau,data,business,visualizations,visualization
https://www.class-central.com/mooc/4209/coursera-building-your-leadership-skills,leadership,savoirrelier,introspection,selfawareness,inspirational
https://www.class-central.com/mooc/4363/coursera-getting-started-with-essay-writing,essay,essays,comparecontrast,writing,causeeffect
https://www.class-central.com/mooc/4256/coursera-programming-and-the-web-for-beginners,web,javascript,html,css,page
https://www.class-central.com/mooc/4220/coursera-introduction-to-game-design,game,games,rules,player,enemy
https://www.class-central.com/mooc/4389/coursera-data-science-in-real-life,data,analyses,perfect,contrasting,randomization
https://www.class-central.com/mooc/4391/coursera-building-a-data-science-team,team,data,science,teams,quiz
https://www.class-central.com/mooc/3200/coursera-algorithmic-thinking-part-2,algorithms,algorithmic,programming,computational,comparison
https://www.class-central.com/mooc/3286/coursera-rethinking-international-tax-law,tax,planning,law,international,corporate
https://www.class-central.com/mooc/2730/coursera-managing-project-risks-and-changes,project,scope,risks,risk,schedule
https://www.class-central.com/mooc/712/coursera-introduction-to-international-criminal-law,lesson,international,crimes,readings,lecture
https://www.class-central.com/mooc/2452/coursera-introduction-to-sustainable-development,sustainable,countries,highincome,development,billion
https://www.class-central.com/mooc/3007/coursera-astronomy-exploring-time-and-space,universe,astronomy,solar,astronomers,planets
https://www.class-central.com/mooc/1361/coursera-paradoxes-of-war,war,wars,nationalism,usthem,warriors
https://www.class-central.com/mooc/1198/coursera-introduction-to-communication-science,communication,effectoriented,science,antiquity,verified
https://www.class-central.com/mooc/2721/coursera-effective-problem-solving-and-decision-making,distortions,onthejob,thinking,critical,solving
https://www.class-central.com/mooc/2724/coursera-high-impact-business-writing,writing,business,document,interoffice,twentypage
https://www.class-central.com/mooc/307/coursera-natural-language-processing,nlp,models,machine,loglinear,language
https://www.class-central.com/mooc/646/coursera-statistics-making-sense-of-data,proportions,tests,intervals,significance,statistical
https://www.class-central.com/mooc/765/coursera-understanding-einstein-the-special-theory-of-relativity,einstein,quotes,relativity,spacetime,lorentz
https://www.class-central.com/mooc/328/coursera-compilers,compilers,programming,languages,compiler,result
https://www.class-central.com/mooc/2879/coursera-forests-and-humans-from-the-midwest-to-madagascar,forest,forests,climate,ecosystems,biomes
https://www.class-central.com/mooc/1636/coursera-creative-problem-solving,creativity,creative,divergent,convergent,ideas
https://www.class-central.com/mooc/664/coursera-diabetes-a-global-challenge,diabetes,obesity,holst,glucose,professor
https://www.class-central.com/mooc/2748/coursera-digital-marketing-channels-the-landscape,digital,marketing,channels,landscape,traditional
https://www.class-central.com/mooc/3474/coursera-command-line-tools-for-genomic-data-science,genomic,sequence,presentations,commands,directories
https://www.class-central.com/mooc/4213/coursera-the-importance-of-listening,lexalytics,semantria,bluemix,ibm,mooc
https://www.class-central.com/mooc/4865/coursera-introduction-to-personal-branding,brand,branding,maintenance,kimberleyvirginiaedu,brands
https://www.class-central.com/mooc/5623/coursera-creative-writing-the-craft-of-setting-and-description,fiction,realist,credibility,meditation,settings
https://www.class-central.com/mooc/678/coursera-epidemics-the-dynamics-of-infectious-diseases,disease,infectious,diseases,vaccination,host
https://www.class-central.com/mooc/3332/coursera-introduction-to-natural-language-processing,parsing,week,text,nlp,summarization
https://www.class-central.com/mooc/4183/coursera-inspiring-and-motivating-individuals,rewards,motivation,goals,team,teammates
https://www.class-central.com/mooc/5237/coursera-ancient-philosophy-plato-his-predecessors,plato,heraclitus,parmenides,platos,socrates
https://www.class-central.com/mooc/1368/coursera-bioinformatic-methods-i,alignments,gene,sequences,blast,sequence
https://www.class-central.com/mooc/1730/coursera-cryptography,cryptography,encryption,week,privatekey,publickey
https://www.class-central.com/mooc/2163/coursera-questionnaire-design-for-social-surveys,unit,questionnaires,standardized,questionnaire,interviewing
https://www.class-central.com/mooc/4305/coursera-java-programming-solving-problems-with-software,java,csv,files,strings,programs
https://www.class-central.com/mooc/4893/coursera-the-global-financial-crisis,crisis,anxiety,financial,housing,crises
https://www.class-central.com/mooc/1307/coursera-fundamentals-of-global-energy-business,energy,considerations,resources,demand,factors
https://www.class-central.com/mooc/703/coursera-soul-beliefs-causes-and-consequences-unit-1-historical-foundations,soul,beliefs,afterlife,slides,religions
https://www.class-central.com/mooc/2938/coursera-code-yourself-an-introduction-to-programming,scratch,unit,program,software,engineer
https://www.class-central.com/mooc/4485/coursera-big-history-connecting-knowledge,history,years,big,complexity,epic
https://www.class-central.com/mooc/1603/coursera-beyond-silicon-valley-growing-entrepreneurship-in-transitioning-economies,cleveland,donors,entrepreneurs,government,intermediary
https://www.class-central.com/mooc/2872/coursera-an-introduction-to-american-law,law,procedure,tort,contract,criminal
https://www.class-central.com/mooc/544/coursera-online-games-literature-new-media-and-narrative,romance,games,game,lord,faerie
https://www.class-central.com/mooc/2167/coursera-greening-the-economy-lessons-from-scandinavia,economy,green,greener,scandinavia,iiiee
https://www.class-central.com/mooc/1076/coursera-calculus-two-sequences-and-series,series,convergence,taylor,power,alternating
https://www.class-central.com/mooc/1856/coursera-advanced-competitive-strategy,customers,customer,network,strategies,returns
https://www.class-central.com/mooc/389/coursera-clinical-problem-solving,diagnostic,clinical,physicians,solving,illness
https://www.class-central.com/mooc/1815/coursera-marriage-and-the-movies-a-history,lecture,film,amazon,marriage,hollywood
https://www.class-central.com/mooc/1013/coursera-mathematical-methods-for-quantitative-finance,derivatives,lagrange,integrals,optimization,quantitative
https://www.class-central.com/mooc/1196/coursera-economics-of-money-and-banking-part-two,banking,swaps,monetary,money,crisis
https://www.class-central.com/mooc/396/coursera-an-introduction-to-the-u-s-food-system-perspectives-from-public-health,food,farm,hopkins,johns,agriculture
https://www.class-central.com/mooc/839/coursera-clinical-terminology-for-international-and-u-s-students,clinical,abbreviations,terms,puzzles,week
https://www.class-central.com/mooc/2385/coursera-the-american-south-its-stories-music-and-art,southern,music,south,diaspora,art
https://www.class-central.com/mooc/2734/coursera-text-retrieval-and-search-engines,retrieval,search,text,web,query
https://www.class-central.com/mooc/5625/coursera-creative-writing-the-craft-of-plot,plot,scene,draft,structure,cut
https://www.class-central.com/mooc/745/coursera-biology-meets-programming-bioinformatics-for-beginners,python,dna,clocks,replication,bioinformatics
https://www.class-central.com/mooc/4022/coursera-introduction-to-the-biology-of-cancer,cancer,hallmarks,cancers,treatment,metastasis
https://www.class-central.com/mooc/2743/coursera-financial-evaluation-and-strategy-investments,capm,portfolio,market,returns,stock
https://www.class-central.com/mooc/4181/coursera-managing-big-data-with-mysql,queries,mysql,relational,databases,data
https://www.class-central.com/mooc/4338/coursera-introduction-to-the-internet-of-things-and-embedded-systems,iot,internet,devices,hardware,embedded
https://www.class-central.com/mooc/4340/coursera-quantitative-methods,validity,method,designs,sciences,scientific
https://www.class-central.com/mooc/4288/coursera-web-application-development-with-javascript-and-mongodb,mongodb,meteor,simpleschema,subscribe,javascript
https://www.class-central.com/mooc/1343/coursera-age-of-jefferson,jefferson,jeffersons,declaration,thomas,nineteen
https://www.class-central.com/mooc/3541/coursera-psychology-of-popularity,popularity,popular,behaviors,mood,adult
https://www.class-central.com/mooc/4723/coursera-econometrics-methods-and-applications,regression,trained,econometrics,econometric,studying
https://www.class-central.com/mooc/1047/coursera-designing-cities,cities,city,design,urban,buildings
https://www.class-central.com/mooc/1269/coursera-how-to-change-the-world,poverty,discussion,care,women,gender
https://www.class-central.com/mooc/518/coursera-sports-and-society,sports,race,play,megabusiness,mountainclimbing
https://www.class-central.com/mooc/4294/coursera-introduction-to-css3,styling,css,style,pseudoelements,accessibility
