,V1,V2,V3,V4,V5,V6,V7,V8
https://www.class-central.com/mooc/4200/coursera-responsive-web-design,responsive,web,templates,bootstrap,design,display,javascript,page
https://www.class-central.com/mooc/4216/coursera-introduction-to-big-data-analytics,pig,june,data,hbase,hive,specialization,spark,big
https://www.class-central.com/mooc/1135/coursera-the-music-of-the-beatles,beatles,singles,music,abbey,period,album,band,pop
https://www.class-central.com/mooc/2987/coursera-introduction-to-classical-music,music,musical,bach,composers,beethoven,period,mozart,romantic
https://www.class-central.com/mooc/3330/coursera-the-language-and-tools-of-financial-analysis,financial,accounting,statements,dcf,decisionmaking,analysis,company,kelloggs
https://www.class-central.com/mooc/2720/coursera-fundamentals-of-management,managers,staffing,management,planning,operational,prospective,enter,professional
https://www.class-central.com/mooc/417/coursera-information-security-and-risk-management-in-context,security,ecrime,oversight,ediscovery,confidentiality,information,coping,securing
https://www.class-central.com/mooc/4196/coursera-introduction-to-software-product-management,software,product,agile,management,manager,preview,role,producing
https://www.class-central.com/mooc/4187/coursera-software-processes-and-agile-practices,software,agile,methodologies,development,practices,process,kanban,scrum
https://www.class-central.com/mooc/4076/coursera-financing-for-development,finance,private,financing,development,sdgs,mobilize,domestic,commercial
https://www.class-central.com/mooc/648/coursera-new-models-of-business-in-society,stakeholder,philanthropy,corporate,entrepreneur,story,business,responsibility,discussing
https://www.class-central.com/mooc/2460/coursera-successful-negotiation-essential-strategies-and-skills,negotiation,negotiate,negotiations,contract,portuguese,spanish,videos,successfully
https://www.class-central.com/mooc/1362/coursera-the-brain-and-space,brain,spatial,space,brains,groh,sensory,duke,location
https://www.class-central.com/mooc/1533/coursera-the-age-of-sustainable-development,sachs,professor,sustainable,inequality,pathways,development,sdgs,poverty
https://www.class-central.com/mooc/2305/coursera-gut-check-exploring-your-microbiome,microbiome,gut,microbiota,microbes,human,nutrition,body,microbial
https://www.class-central.com/mooc/2793/coursera-american-education-reform-history-policy-practice,schools,deweys,school,education,blacks,progressives,reconstruction,war
https://www.class-central.com/mooc/1727/coursera-usable-security,authentication,cybersecurity,humancomputer,secure,usable,usability,interaction,design
https://www.class-central.com/mooc/4185/coursera-sharpened-visions-a-poetry-workshop,poem,poems,poetic,poetry,rhythm,drafts,revision,break
https://www.class-central.com/mooc/1014/coursera-financial-engineering-and-risk-management-part-i,securities,pricing,binomial,derivatives,mbs,mortgagebacked,models,swaps
https://www.class-central.com/mooc/2729/coursera-budgeting-and-scheduling-projects,project,schedule,estimating,cost,budget,constraints,participating,estimate
https://www.class-central.com/mooc/1767/coursera-understanding-research-methods,etivity,research,question,tab,literature,conjunction,review,outcome
https://www.class-central.com/mooc/889/coursera-introduction-to-public-speaking,speeches,speaking,speech,informative,persuasive,impromptu,upload,argument
https://www.class-central.com/mooc/2986/coursera-moral-foundations-of-politics,enlightenment,formulations,politics,contract,classical,antienlightenment,utilitarianism,tradition
https://www.class-central.com/mooc/527/coursera-financial-engineering-and-risk-management,derman,emanuel,management,cast,risk,derivatives,eye,pricing
https://www.class-central.com/mooc/626/coursera-startup-engineering,command,line,scaling,startups,bizdev,cacltvfunnel,coffeescript,dcvs
https://www.class-central.com/mooc/453/coursera-the-hardware-software-interface,highlevel,assembly,memory,hardware,levels,java,operating,level
https://www.class-central.com/mooc/429/coursera-creative-serious-and-playful-science-of-android-apps,app,android,programming,computer,illiac,track,tablet,week
https://www.class-central.com/mooc/976/coursera-the-emergence-of-the-modern-middle-east-part-i,ottoman,east,arab,middle,empire,egypt,reform,nationalism
https://www.class-central.com/mooc/436/coursera-microeconomics-principles,module,decisionmakersboth,producerswithin,shatter,efficiency,economics,markets,marriage
https://www.class-central.com/mooc/5057/coursera-stanford-introduction-to-food-and-health,foods,eating,food,cooking,nutrients,health,section,epidemics
